item_nr,all,condition,target
126,Comme affiches ces collent bien,within23,3
127,Et trajet un fatigue tellement,within23,3
128,Donc girafe une mange peu,within23,3
129,Ainsi enfants les dessinent calmement,within23,3
130,Et animaux certains vivent vieux,within23,3
131,Or rats plusieurs passent souvent,within23,3
132,Car papillons quelques sortent ici,within23,3
133,Aussi vestes les ferment mal,within23,3
134,Enfin ogre cet range bien,within23,3
135,Puisque travaux ses sont chers,within23,3
136,Ensuite bureau son semble propre,within23,3
137,Néanmoins enceintes les sont rondes,within23,3
138,Puis fleurs ces poussent vite,within23,3
139,Pourtant homme cet est mystérieux,within23,3
140,Aussi livre son sert parfois,within23,3
141,Toutefois loup le devient libre,within23,3
142,Sinon lumière une éblouit moins,within23,3
143,Cependant robe cette est classique,within23,3
144,Vraiment cochon ce mange lentement,within23,3
145,Si clés tes sont rouillées,within23,3
146,Ainsi mur un cache tout,within23,3
147,Enfin biscuits les cuisent rapidement,within23,3
148,Finalement ville la est vide,within23,3
149,Or lutin le travaille seul,within23,3
150,Alors toit ce glisse fortement,within23,3
151,Comme heure une annonce cela,within23,3
152,Des tomates grosses tombent pourtant,within23,3
153,Puis lion un casse ceci,within23,3
154,Car feuille cette sent bon,within23,3
155,Si chaussettes ses sont identiques,within23,3
156,Sinon papier son devient transparent,within23,3
157,Mais vitre ta sera réparée,within23,3
158,Donc voisins ses étaient proches,within23,3
159,Quand oiseaux certains chantent faux,within23,3
160,Lorsque guitare sa sonne fort,within23,3
161,La chambre mal sera organisée,within34,3
162,La fille lève se tôt,within34,3
163,Son cadeau rend me heureux,within34,3
164,Les cloches sonné ont longtemps,within34,3
165,Les minutes passées étaient rapidement,within34,3
166,Des clés perdent se facilement,within34,3
167,Ses photos été auraient jolies,within34,3
168,Tes chats beaucoup ont mangé,within34,3
169,Le skieur sincèrement est désolé,within34,3
170,Les maisons été ont détruites,within34,3
171,Un homme chanté avait fort,within34,3
172,Cette dame vu aurait loin,within34,3
173,Ce signe reconnaît se maintenant,within34,3
174,Sa veste va me bien,within34,3
175,Ses attentions font lui plaisir,within34,3
176,Mon copain parti était hier,within34,3
177,Tes amis voient se souvent,within34,3
178,Quelques livres brûlés ont sinon,within34,3
179,Certains portraits représentent me vraiment,within34,3
180,La porte ferme se seule,within34,3
181,Le travail beaucoup avait fatigué,within34,3
182,Les oiseaux sifflé ont joliment,within34,3
183,Un papier déchire se ici,within34,3
184,Une raison tourmente le trop,within34,3
185,Des gens amènent nous là,within34,3
186,Ce bateau convient vous bien,within34,3
187,Ces feuilles tombées sont doucement,within34,3
188,Ces rayons forment se ici,within34,3
189,Ses pieds été ont soignés,within34,3
190,Ses mains tiennent me tendrement,within34,3
191,Ses affaires correctement sont tenues,within34,3
192,Mes livres été ont lus,within34,3
193,Ma couette lavée est aujourd'hui,within34,3
194,Mes lettres été ont envoyées,within34,3
195,Ton café devenu est froid,within34,3
196,Ses fleurs restées sont belles,within34,3
197,Tes cheveux été ont mouillés,within34,3
198,Plusieurs ours sont se bousculés,within34,3
199,Une montagne monte se péniblement,within34,3
200,Le chaton bien avait grandi,within34,3
201,Parfois ton est arbre mignon,across34,3
202,Souvent la coule rivière doucement,across34,3
203,Quand les sont cascades bruyantes,across34,3
204,Lorsque le dort mouton longtemps,across34,3
205,Alors cette tourne horloge mal,across34,3
206,Comme ces collent affiches bien,across34,3
207,Et un fatigue trajet tellement,across34,3
208,Donc une mange girafe peu,across34,3
209,Ainsi les dessinent enfants calmement,across34,3
210,Et certains vivent animaux vieux,across34,3
211,Or plusieurs passent rats souvent,across34,3
212,Car quelques sortent papillons ici,across34,3
213,Aussi les ferment vestes mal,across34,3
214,Enfin cet range ogre bien,across34,3
215,Puisque ses sont travaux chers,across34,3
216,Ensuite son semble bureau propre,across34,3
217,Néanmoins les sont enceintes rondes,across34,3
218,Puis ces poussent fleurs vite,across34,3
219,Pourtant cet est homme mystérieux,across34,3
220,Aussi son sert livre parfois,across34,3
221,Toutefois le devient loup libre,across34,3
222,Sinon une éblouit lumière moins,across34,3
223,Cependant cette est robe classique,across34,3
224,Vraiment ce mange cochon lentement,across34,3
225,Si tes sont clés rouillées,across34,3
226,Ainsi un cache mur tout,across34,3
227,Enfin les cuisent biscuits rapidement,across34,3
228,Finalement la est ville vide,across34,3
229,Or le travaille lutin seul,across34,3
230,Alors ce glisse toit fortement,across34,3
231,Comme une annonce heure cela,across34,3
232,Des grosses tombent tomates pourtant,across34,3
233,Puis un casse lion ceci,across34,3
234,Car cette sent feuille bon,across34,3
235,Si ses sont chaussettes identiques,across34,3
236,Sinon son devient papier transparent,across34,3
237,Mais ta sera vitre réparée,across34,3
238,Donc ses étaient voisins proches,across34,3
239,Quand certains chantent oiseaux faux,across34,3
240,Lorsque sa sonne guitare fort,across34,3
