Words,POS,lcfreqmovies,lcfreqbooks,Freq
rien,ADV,3.376861527,3.188568531,3.282715029
ma,DET,3.370529743,3.221977282,3.296253513
lui,PRO,3.364391506,3.626923142,3.495657324
où,ADV,3.337908299,3.315573635,3.326740967
dit,VER,3.335050496,3.417481658,3.376266077
là,ADV,3.329410084,3.038985563,3.184197824
pourquoi,ADV,3.30215553,2.68695785,2.99455669
sont,VER,3.292408934,3.041207083,3.166808009
être,VER,3.28229576,3.103269929,3.192782845
cette,PRO,3.279272159,3.365615259,3.322443709
quand,CON,3.262624298,3.170481741,3.21655302
avez,VER,3.251455705,2.532767115,2.89211141
son,DET,3.25044928,3.676279232,3.463364256
alors,ADV,3.249846257,3.014428126,3.132137192
par,PRP,3.24640009,3.572784502,3.409592296
peux,VER,3.241491692,2.389892255,2.815691974
comment,ADV,3.217289126,2.624508984,2.920899055
vais,VER,3.216163262,2.447158031,2.831660647
dire,VER,3.208564962,2.932859182,3.070712072
très,ADV,3.201375272,3.049531997,3.125453635
ou,CON,3.199779852,3.385581252,3.292680552
bon,ADJ,3.18028935,2.774509667,2.977399509
ont,VER,3.159717546,2.899776743,3.029747145
allez,VER,3.150710399,2.192037503,2.671373951
aussi,ADV,3.146850225,3.133494199,3.140172212
voir,VER,3.146469133,2.8552465,3.000857817
fais,VER,3.143302152,2.350751818,2.747026985
jamais,ADV,3.133609156,3.050368154,3.091988655
chose,NOU,3.121162462,2.842109763,2.981636113
même,ADV,3.120636439,3.32637683,3.223506635
faut,VER,3.119951655,2.81552462,2.967738138
merci,NOU,3.118744071,1.980457892,2.549600982
tous,PRO,3.10958867,3.062683496,3.086136083
sa,DET,3.10597999,3.571991671,3.338985831
ta,DET,3.102423414,2.400865961,2.751644688
êtes,VER,3.101437735,2.393452355,2.747445045
peut,VER,3.08265614,2.70670925,2.894682695
encore,ADV,3.070754323,3.198395882,3.134575103
autre,ADJ,3.0599835,3.136444687,3.098214094
peu,ADV,3.059089866,3.20056598,3.129827923
été,VER,3.052205134,2.991553889,3.021879512
maintenant,ADV,3.050947873,2.733478141,2.892213007
mes,DET,3.04246919,3.00992233,3.02619576
avoir,NOU,3.033885953,2.918727376,2.976306665
toujours,ADV,3.030340606,3.038929978,3.034635292
temps,NOU,3.013279727,3.110384298,3.061832013
dis,VER,3.011054227,2.678846025,2.844950126
notre,DET,3.009888369,2.83294299,2.92141568
vas,VER,3.003985848,2.134655142,2.569320495
deux,ADJ,3.00389547,3.192542365,3.098218918
sans,PRP,3.001491409,3.347158215,3.174324812
avait,VER,2.996664874,3.66394297,3.330303922
vie,NOU,2.994136709,2.92193086,2.958033785
vraiment,ADV,2.986131013,2.438257472,2.712194243
vu,VER,2.978116578,2.620521229,2.799318904
quelque,PRO,2.976450859,2.825594869,2.901022864
viens,VER,2.975344481,2.102056193,2.538700337
juste,ADJ,2.965465115,2.44410728,2.704786198
crois,VER,2.956384563,2.485068074,2.720726319
fois,NOU,2.953880446,3.056904851,3.005392649
dois,VER,2.951672583,2.008727887,2.480200235
père,NOU,2.944142012,2.850100728,2.89712137
trop,ADV,2.934266092,2.897627091,2.915946592
dieu,NOU,2.930903206,2.566449278,2.748676242
chez,PRP,2.925404924,2.832853657,2.879129291
aux,PRP,2.922024418,3.280480484,3.101252451
étais,NOU,2.9213795,2.798035708,2.859707604
aller,VER,2.921150428,2.575280238,2.748215333
monde,NOU,2.915726884,2.864766124,2.890246504
femme,NOU,2.906642065,2.832636628,2.869639347
sûr,ADJ,2.903979379,2.535939384,2.719959382
après,CON,2.896305707,2.981718966,2.939012337
mal,ADJ,2.895444647,2.737049445,2.816247046
avant,PRP,2.895218059,2.867879783,2.881548921
avais,VER,2.895068778,2.963183171,2.929125975
homme,NOU,2.892712198,2.930556818,2.911634508
personne,ADV,2.885677778,2.660969772,2.773323775
accord,NOU,2.881823865,2.095727123,2.488775494
besoin,NOU,2.879692123,2.40098673,2.640339427
ses,DET,2.879577524,3.492118947,3.185848236
aime,VER,2.875807608,2.410895278,2.643351443
mort,VER,2.872214563,2.706649519,2.789432041
parler,VER,2.869002774,2.544985298,2.706994036
voilà ,ADV,2.86119975,2.517354274,2.689277012
ans,NOU,2.856227259,2.784652948,2.820440104
petit,ADJ,2.855955048,2.88576818,2.870861614
mieux,ADV,2.848712419,2.640848991,2.744780705
veut,VER,2.845835714,2.323478988,2.584657351
déjà ,ADV,2.840563996,2.848521641,2.844542819
tes,DET,2.839000123,2.161368002,2.500184063
vois,VER,2.838691709,2.404354703,2.621523206
eu,VER,2.836817639,2.661926212,2.749371926
mère,NOU,2.827369273,2.867520519,2.847444896
quel,PRO,2.818034445,2.423802725,2.620918585
doit,VER,2.81630097,2.351912206,2.584106588
vos,DET,2.812291537,2.255923459,2.534107498
sera,VER,2.804439312,2.35890521,2.581672261
jour,NOU,2.802924163,2.917164031,2.860044097
bonne,ADJ,2.800792661,2.529584332,2.665188497
depuis,PRP,2.800125705,2.817360403,2.808743054
fille,NOU,2.797676015,2.620167298,2.708921657
beaucoup,ADV,2.796574333,2.664096415,2.730335374
regarde,VER,2.787779171,2.308884414,2.548331793
donc,ADV,2.787113184,2.649217992,2.718165588
gens,NOU,2.773998423,2.61213723,2.693067827
monsieur,NOU,2.766003644,2.457518572,2.611761108
maison,NOU,2.756103372,2.664218755,2.710161064
bonjour,NOU,2.755783416,1.705350463,2.23056694
passe,VER,2.754692271,2.309757882,2.532225077
toute,PRO,2.754692271,2.904336792,2.829514532
nuit,NOU,2.75039267,2.830299898,2.790346284
soir,NOU,2.74495761,2.722000114,2.733478862
voulez,VER,2.743047002,2.055301864,2.399174433
peur,NOU,2.741805307,2.487463621,2.614634464
laisse,VER,2.7399756,2.209943736,2.474959668
faites,VER,2.733991274,2.006123606,2.37005744
maman,NOU,2.730329986,2.146748014,2.438539
puis,ADV,2.725862649,3.062047718,2.893955184
avons,VER,2.723857762,2.413048169,2.568452966
nom,NOU,2.72277373,2.514401635,2.618587683
arrive,VER,2.720242018,2.215161508,2.467701763
nos,DET,2.719853121,2.762821055,2.741337088
argent,NOU,2.71970409,2.302201011,2.510952551
reste,VER,2.718949869,2.486996888,2.602973379
seul,ADJ,2.717637222,2.717637222,2.717637222
pense,VER,2.714027829,2.250517586,2.482272708
quelle,PRO,2.709736238,2.388083431,2.548909835
allons,VER,2.69915237,2.113274692,2.406213531
cet,PRO,2.698891824,2.696793085,2.697842455
plaît,VER,2.698891824,1.740362689,2.219627257
fils,NOU,2.693058289,2.433641846,2.563350068
cela,PRO,2.692723573,2.870298538,2.781511056
vite,ADV,2.69167371,2.546406925,2.619040318
moins,ADV,2.689397663,2.866411405,2.777904534
appelle,VER,2.68643069,2.121756758,2.404093724
soit,CON,2.684441388,2.485267025,2.584854207
salut,NOU,2.681648198,1.816506437,2.249077318
attends,VER,2.67971854,1.796366155,2.238042348
demain,ADV,2.677962637,2.191842095,2.434902366
air,NOU,2.675319983,2.82020803,2.747764007
prendre,VER,2.668171512,2.536621562,2.602396537
passé,VER,2.66539335,2.478984717,2.572189034
savoir,VER,2.661216186,2.463818362,2.562517274
entre,PRP,2.659726095,2.950739588,2.805232842
arrête,VER,2.659526396,1.929776433,2.294651415
tête,NOU,2.656222816,2.935250241,2.795736529
choses,NOU,2.655003898,2.559224139,2.607114019
parle,VER,2.654830861,2.227320983,2.441075922
amour,NOU,2.653656232,2.572383618,2.613019925
enfants,NOU,2.651597801,2.536204803,2.593901302
merde,NOU,2.636878886,1.992862671,2.314870779
prends,VER,2.6349808,1.846337112,2.240658956
aurais,VER,2.632376297,2.431476344,2.531926321
jours,NOU,2.630122643,2.71215284,2.671137742
donne,VER,2.628174284,2.181929296,2.40505179
petite,ADJ,2.627928845,2.72999046,2.678959653
raison,NOU,2.62765256,2.393575203,2.510613882
elles,PRO,2.623776328,2.781855861,2.702816095
connais,VER,2.618968035,2.046690221,2.332829128
voulais,VER,2.618842704,2.030599722,2.324721213
heure,NOU,2.618466492,2.64331447,2.630890481
grand,ADJ,2.618037632,2.79919576,2.708616696
sommes,VER,2.61333432,2.375041442,2.494187881
savez,VER,2.610596292,2.123557658,2.367076975
assez,ADV,2.61039397,2.623394031,2.616894001
moment,NOU,2.605574376,2.786481678,2.696028027
sait,VER,2.60364228,2.389166084,2.496404182
toutes,PRO,2.597563562,2.785329835,2.691446699
problème,NOU,2.592398846,1.741939078,2.167168962
voiture,VER,2.591910101,2.345608951,2.468759526
combien,ADV,2.591710001,2.033584576,2.312647289
coup,NOU,2.590496312,2.807230509,2.698863411
partir,VER,2.589111464,2.224714305,2.406912885
désolé,VER,2.587486465,1.104145551,1.845816008
tard,ADV,2.584873753,2.559475706,2.57217473
porte,VER,2.581426234,2.789587762,2.685506998
pris,VER,2.580731153,2.533377991,2.557054572
seule,ADJ,2.58067413,2.531912995,2.556293563
tant,ADV,2.580172002,2.639904645,2.610038324
ami,ADJ,2.579429159,2.174931594,2.377180377
ni,CON,2.577077989,2.821094097,2.699086043
serait,VER,2.569502657,2.59837461,2.583938634
dû,VER,2.567402827,2.399119686,2.483261257
autres,ADJ,2.566708473,2.738288925,2.652498699
comprends,VER,2.566472847,2.013595524,2.290034186
travail,NOU,2.565174613,2.35022863,2.457701622
venir,VER,2.564819874,2.292278229,2.428549052
part,VER,2.564748892,2.520116553,2.542432723
pu,VER,2.563742058,2.543223451,2.553482755
aider,VER,2.559631365,1.781108836,2.170370101
sens,NOU,2.554392235,2.477714385,2.51605331
famille,NOU,2.553579642,2.383258682,2.468419162
pouvez,VER,2.548303411,1.725176301,2.136739856
vient,VER,2.546838672,2.314330783,2.430584728
tiens,PRO,2.543981177,2.137638905,2.340810041
demande,NOU,2.542327383,2.386409779,2.464368581
aurait,VER,2.540054042,2.773032722,2.656543382
tuer,VER,2.539301974,1.816506437,2.177904206
passer,VER,2.538686817,2.460567112,2.499626965
trouvé,VER,2.536722534,2.140633725,2.33867813
hommes,NOU,2.534584488,2.737685518,2.636135003
chercher,VER,2.532767115,2.236436485,2.3846018
quelques,PRO,2.528080714,2.86484913,2.696464922
revoir,VER,2.527861806,1.902329306,2.215095556
sous,PRP,2.527681446,3.025858624,2.776770035
contre,PRP,2.526003086,2.787772091,2.656887589
chance,NOU,2.523772472,2.05709529,2.290433881
idée,VER,2.519026894,2.382161183,2.450594039
trouver,VER,2.511803176,2.284881715,2.398342446
dites,VER,2.508233355,1.90960951,2.208921433
pendant,PRP,2.504851298,2.661159333,2.583005316
belle,ADJ,2.504008456,2.391552567,2.447780512
attention,NOU,2.499687083,2.149249913,2.324468498
yeux,NOU,2.499535878,2.980312497,2.739924188
pourrait,VER,2.496292954,2.202270298,2.349281626
fini,VER,2.49583562,2.208495102,2.352165361
mois,NOU,2.49458589,2.484100445,2.489343168
frère,NOU,2.493388335,2.153387979,2.323388157
rester,VER,2.491893729,2.092650478,2.292272104
beau,ADJ,2.491571786,2.473004964,2.482288375
entendu,VER,2.486727936,2.253967663,2.3703478
vieux,ADJ,2.483758414,2.605423572,2.544590993
sang,NOU,2.483301952,2.312177356,2.397739654
venez,VER,2.48291644,1.617210095,2.050063268
eux,PRO,2.470336975,2.702654519,2.586495747
histoire,NOU,2.47029286,2.465724798,2.468008829
heures,NOU,2.468923054,2.685015816,2.576969435
question,NOU,2.467800425,2.366422957,2.417111691
place,VER,2.467756051,2.656203647,2.561979849
aide,NOU,2.464042205,1.849296541,2.156669373
eau,NOU,2.463310554,2.621010013,2.542160284
sortir,VER,2.463310554,2.192985379,2.328147967
longtemps,ADV,2.462936788,2.5257443,2.494340544
gars,NOU,2.461843544,1.772761647,2.117302596
enfant,NOU,2.458275156,2.582017885,2.520146521
amis,ADJ,2.457775958,2.186730376,2.322253167
main,NOU,2.457306492,2.896922854,2.677114673
trouve,VER,2.454005938,2.214260867,2.334133403
leur,DET,2.453027694,2.630936119,2.541981907
ensemble,NOU,2.452123918,2.314899024,2.383511471
vont,VER,2.449246919,2.066773037,2.258009978
type,NOU,2.44811862,2.164204099,2.30616136
cas,NOU,2.448072189,2.337179625,2.392625907
compris,VER,2.447592109,2.16459076,2.306091435
seulement,ADV,2.445993182,2.599850335,2.522921759
ville,NOU,2.444013551,2.493722869,2.46886821
voici,ADV,2.443403817,1.98811284,2.215758329
nouveau,ADJ,2.442103322,2.516905391,2.479504357
terre,NOU,2.441789367,2.625415352,2.53360236
devant,PRP,2.440389506,2.89692836,2.668658933
police,NOU,2.44015313,1.913230871,2.176692001
truc,NOU,2.439237928,1.708845638,2.074041783
suite,NOU,2.438035772,2.432776941,2.435406357
mettre,VER,2.433049412,2.362105319,2.397577366
tué,VER,2.426527527,1.714497409,2.070512468
enfin,ADV,2.424603991,2.643719094,2.534161543
laissez,VER,2.424244422,1.497206181,1.960725302
matin,NOU,2.423295037,2.576214614,2.499754826
chambre,VER,2.422819565,2.581175677,2.501997621
pardon,NOU,2.421324177,1.644635504,2.032979841
regardez,VER,2.417986231,1.490660653,1.954323442
papa,NOU,2.413316532,1.887392219,2.150354376
venu,VER,2.4126789,2.199700339,2.30618962
partie,NOU,2.411989877,2.350732452,2.381361165
calme,ADJ,2.411653371,2.107583031,2.259618201
vers,PRP,2.411080712,2.999648079,2.705364396
arrivé,ADJ,2.410406027,2.049334336,2.229870182
mari,NOU,2.40640391,2.073278336,2.239841123
sois,VER,2.406045996,1.732313327,2.069179662
jeune,ADJ,2.403223504,2.653608024,2.528415764
mec,NOU,2.403017514,1.702516697,2.052767106
étaient,VER,2.402072144,2.967566695,2.68481942
parlé,VER,2.400883216,2.07722251,2.239052863
car,CON,2.400365273,2.685920792,2.543143033
importe,VER,2.400347998,2.179206976,2.289777487
côté,NOU,2.398825067,2.696731974,2.547778521
leurs,DET,2.398564943,2.952346784,2.675455864
corps,NOU,2.398200507,2.681548754,2.539874631
celui,PRO,2.398165783,2.504049277,2.45110753
madame,NOU,2.396757118,2.298241578,2.347499348
loin,ADV,2.395046677,2.655484195,2.525265436
pourrais,VER,2.394276527,1.812445403,2.103360965
aucun,PRO,2.393364585,2.369457065,2.381410825
prie,VER,2.393206555,1.645324002,2.019265279
dernière,ADJ,2.392661786,2.221544637,2.307103212
chaque,PRO,2.391446779,2.68694892,2.53919785
droit,NOU,2.389892255,2.388935581,2.389413918
train,NOU,2.388101202,2.433417777,2.41075949
laisser,VER,2.38583855,2.283369082,2.334603816
femmes,NOU,2.385159239,2.499054421,2.44210683
mis,VER,2.382431317,2.411922596,2.397176957
donné,VER,2.382323283,2.200248414,2.291285849
premier,ADJ,2.379849179,2.519145182,2.449497181
aura,NOU,2.379196704,2.086929024,2.233062864
feu,ADJ,2.37621185,2.333386812,2.354799331
écoute,NOU,2.374161561,1.968669702,2.171415632
savais,VER,2.37412486,2.12086994,2.2474974
devrais,VER,2.372230583,1.562173863,1.967202223
compte,NOU,2.371714203,2.377997948,2.374856076
première,ADJ,2.37165884,2.545071965,2.458365403
perdu,VER,2.3706426,2.153814864,2.262228732
mourir,VER,2.3705871,2.115976429,2.243281765
donner,VER,2.368026416,2.335558188,2.351792302
fou,ADJ,2.363216987,2.045635871,2.204426429
attendez,VER,2.362972288,1.297979244,1.830475766
cause,NOU,2.362878136,2.302785336,2.332831736
excusez,VER,2.362199639,1.206286044,1.784242842
dehors,PRP,2.359057228,2.168202747,2.263629988
aucune,PRO,2.357420246,2.303088011,2.330254129
aimerais,VER,2.357286732,1.556423121,1.956854927
point,ADV,2.355279071,2.543819805,2.449549438
super,VER,2.354703745,0.990782692,1.672743219
jouer,VER,2.353800865,2.085718595,2.21975973
coeur,NOU,2.352143912,2.579863591,2.466003752
pouvoir,NOU,2.350403096,2.3029367,2.326669898
hier,ADV,2.349801862,1.966798546,2.158300204
vivre,VER,2.349782453,2.279370318,2.314576386
docteur,NOU,2.349238663,1.919653282,2.134445973
dont,PRO,2.349122047,2.982425018,2.665773533
envie,VER,2.348538501,2.420797101,2.384667801
fin,ADJ,2.347212886,2.52975108,2.438481983
genre,NOU,2.341750979,2.190891717,2.266321348
parti,VER,2.333930674,2.151768103,2.242849389
filles,NOU,2.330352887,2.243534102,2.286943495
près,ADV,2.329723224,2.645785667,2.487754446
manger,VER,2.32888904,2.140853581,2.234871311
mains,NOU,2.328318431,2.644123341,2.486220886
demandé,VER,2.328155262,2.110320297,2.21923778
guerre,NOU,2.328012439,2.52975108,2.42888176
façon,NOU,2.32756326,2.413735517,2.370649389
fort,ADV,2.324735038,2.424244422,2.37448973
plutôt,ADV,2.323045735,2.448304296,2.385675016
possible,ADJ,2.322674032,2.320104725,2.321389379
espère,VER,2.32054092,1.641969598,1.981255259
affaire,NOU,2.32002159,2.184606267,2.252313929
devrait,VER,2.31983448,1.711722892,2.015778686
grande,ADJ,2.319085229,2.597486762,2.458285996
ainsi,CON,2.317394675,2.671598594,2.494496635
boulot,ADJ,2.315214393,1.538196578,1.926705486
fous,VER,2.314983145,1.844228581,2.079605863
gros,ADV,2.314709693,2.392626616,2.353668155
plein,ADJ,2.31103297,2.347466626,2.329249798
pays,NOU,2.306575128,2.383007042,2.344791085
ceux,PRO,2.305394367,2.491165517,2.398279942
marche,NOU,2.303886922,2.199700339,2.251793631
pensais,VER,2.299964669,1.84298347,2.07147407
souviens,VER,2.297322714,1.862369937,2.079846326
minutes,NOU,2.296730987,2.148448404,2.222589696
vue,VER,2.296687124,2.300877966,2.298782545
école,NOU,2.294554399,2.108936924,2.201745662
mets,VER,2.294289827,1.620031895,1.957160861
endroit,NOU,2.293914741,2.036029731,2.164972236
peine,VER,2.293384656,2.591287265,2.442335961
prêt,ADJ,2.292743271,1.808885867,2.050814569
film,NOU,2.290257269,1.694868328,1.992562799
pauvre,ADJ,2.289276719,2.25083458,2.27005565
voudrais,VER,2.289053558,1.964212473,2.126633016
font,VER,2.286927785,2.187295055,2.23711142
croire,VER,2.286389097,2.225076562,2.25573283
appeler,VER,2.284859177,1.805636766,2.045247972
voulait,VER,2.283640389,2.35283829,2.31823934
voyez,VER,2.2824635,1.922465945,2.102464723
dirait,VER,2.280191248,1.933892036,2.107041642
lit,NOU,2.279484429,2.532244644,2.405864537
vérité,NOU,2.279233346,2.125090713,2.20216203
chef,NOU,2.278273326,2.236965299,2.257619313
demander,VER,2.276139985,2.160348461,2.218244223
garçon,NOU,2.27510395,2.271748699,2.273426325
suffit,VER,2.274388796,1.775683249,2.025036023
derrière,PRP,2.273163378,2.651248931,2.462206155
nouvelle,ADJ,2.272839105,2.218194027,2.245516566
penses,VER,2.271609301,1.582517884,1.927063593
affaires,NOU,2.271190839,2.01300585,2.142098345
années,NOU,2.270934913,2.391905007,2.33141996
semaine,NOU,2.269536293,2.048791274,2.159163784
bientôt,ADV,2.267077817,2.22940024,2.248239029
instant,ADJ,2.266819455,2.473092641,2.369956048
parents,NOU,2.266466895,2.156912426,2.211689661
tellement,ADV,2.264109156,2.226625679,2.245367418
arriver,VER,2.262166213,1.977723605,2.119944909
voit,VER,2.260023661,2.200795798,2.23040973
presque,ADV,2.259617767,2.667957002,2.463787385
tomber,VER,2.255875273,2.124439011,2.190157142
désolée,VER,2.253846646,0.87909588,1.566471263
prend,VER,2.252901553,2.110758009,2.181829781
arrêter,VER,2.251930085,1.906388921,2.079159503
ferme,ADV,2.250712686,2.06069784,2.155705263
attendre,VER,2.249051529,2.156700553,2.202876041
plaisir,NOU,2.248953615,2.319688893,2.284321254
dernier,ADJ,2.248243083,2.288070283,2.268156683
tour,NOU,2.244425572,2.447576614,2.346001093
prenez,VER,2.243335749,1.406028945,1.824682347
mot,NOU,2.242615958,2.41575771,2.329186834
arrêtez,VER,2.240848658,0.825426118,1.533137388
attend,VER,2.240199675,1.871923032,2.056061354
bébé,NOU,2.240099746,1.558948446,1.899524096
ait,VER,2.239099182,2.172164914,2.205632048
malade,ADJ,2.238472657,1.965530944,2.102001801
café,NOU,2.236638014,2.23146959,2.234053802
important,VER,2.235250612,1.718418642,1.976834627
bas,ADV,2.235073715,2.397940009,2.316506862
fera,VER,2.232233521,1.775683249,2.003958385
garde,NOU,2.231673437,2.105714511,2.168693974
aimes,VER,2.231418614,1.408409578,1.819914096
musique,NOU,2.228272002,2.041155733,2.134713868
serai,VER,2.227475343,1.696006715,1.961741029
essaie,VER,2.225412673,1.597585502,1.911499088
roi,NOU,2.222456337,1.934599438,2.078527888
rentrer,VER,2.221048912,1.887786035,2.054417474
dessus,ADV,2.220003426,1.928395852,2.074199639
cher,ADV,2.218561762,2.044304519,2.131433141
journée,NOU,2.218404199,2.148417547,2.183410873
téléphone,VER,2.21779968,2.020361283,2.119080482
sinon,CON,2.217378648,1.951968584,2.084673616
heureux,ADJ,2.216192302,2.115976429,2.166084366
entends,VER,2.213491194,1.894592948,2.054042071
faute,NOU,2.213438063,1.913230871,2.063334467
reviens,VER,2.212693542,1.349471799,1.781082671
dur,ADJ,2.212347438,1.978682565,2.095515002
confiance,NOU,2.211867761,1.962653405,2.087260583
croyais,VER,2.211013691,1.758609143,1.984811417
numéro,NOU,2.209729428,1.77815125,1.993940339
cinq,ADJ,2.209407768,2.343625195,2.276516482
cours,NOU,2.208978517,2.26955964,2.239269079
vaut,VER,2.208253193,1.841296887,2.02477504
bonsoir,NOU,2.207257259,1.343014497,1.775135878
dormir,VER,2.206205012,1.978636948,2.09242098
entrer,VER,2.204472704,2.038461196,2.12146695
chérie,VER,2.202896809,1.505556939,1.854226874
chien,NOU,2.200768445,2.070555016,2.135661731
mariage,NOU,2.200248414,1.849296541,2.024772478
oublié,VER,2.198986806,1.942999593,2.0709932
jeu,NOU,2.19531836,2.116209126,2.155763743
bureau,NOU,2.195013563,2.11417714,2.154595352
impossible,ADJ,2.19348636,2.005266333,2.099376347
sors,VER,2.19348636,1.406028945,1.799757653
service,NOU,2.193124598,2.026451546,2.109788072
messieurs,NOU,2.192177026,1.581038949,1.886607988
meilleur,ADJ,2.192093317,1.75709222,1.974592769
soeur,NOU,2.190947679,2.066512278,2.128729979
voulu,VER,2.1897429,2.25379823,2.221770565
verre,NOU,2.187887178,2.243534102,2.21571064
facile,ADJ,2.186306384,1.94767874,2.066992562
bois,NOU,2.185230416,2.489944424,2.33758742
lieu,NOU,2.18503192,2.329153711,2.257092816
parfois,ADV,2.184293855,2.458426315,2.321360085
route,NOU,2.184208613,2.40027889,2.292243752
croyez,VER,2.183383742,1.740915076,1.962149409
parles,VER,2.182414652,1.548266545,1.865340599
autant,ADV,2.1823005,2.380952528,2.281626514
drôle,ADJ,2.181986424,1.999695887,2.090841156
pensé,NOU,2.180899687,1.989316305,2.085107996
rentre,VER,2.180183242,1.62076049,1.900471866
quatre,ADJ,2.178804346,2.451233624,2.315018985
cherche,VER,2.178257321,1.824060717,2.001159019
capitaine,NOU,2.177796133,1.946697837,2.062246985
âge,NOU,2.177392192,2.312325482,2.244858837
devez,VER,2.17655426,1.208172527,1.692363394
bras,NOU,2.173943437,2.688393123,2.43116828
mauvais,ADJ,2.17388524,2.062506775,2.118196008
travaille,VER,2.173827036,1.550717423,1.86227223
surtout,ADV,2.173768823,2.468627906,2.321198365
payer,VER,2.173477643,1.765743041,1.969610342
pensez,VER,2.172310969,1.620031895,1.896171432
joue,NOU,2.171580202,1.938619782,2.055099992
an,NOU,2.171463165,1.885134966,2.028299066
ira,VER,2.171433901,1.451939869,1.811686885
travailler,VER,2.169791954,1.831037486,2.00041472
seigneur,NOU,2.169439299,1.714497409,1.941968354
général,ADJ,2.168998077,2.436019449,2.302508763
appelé,VER,2.168409084,1.519040039,1.843724562
con,ADJ,2.168114287,1.878981123,2.023547705
ferai,VER,2.164679941,1.500922239,1.83280109
cul,NOU,2.163906433,1.809290301,1.986598367
minute,VER,2.163697946,1.787814567,1.975756257
paix,NOU,2.160948481,2.015862508,2.088405495
boire,VER,2.160828543,2.009875634,2.085352089
exactement,ADV,2.160228357,1.965483924,2.062856141
fête,NOU,2.159837791,1.858717615,2.009277703
dès,PRP,2.157517209,2.439443227,2.298480218
commence,VER,2.156882164,1.916453949,2.036668057
morts,VER,2.15582169,2.018409207,2.087115449
prison,NOU,2.155244917,1.8106357,1.982940309
veulent,VER,2.153448989,1.591621038,1.872535014
ciel,NOU,2.152960674,2.479661671,2.316311173
partout,ADV,2.152104801,2.25379823,2.202951516
écrit,VER,2.151461787,2.033584576,2.092523182
gentil,ADJ,2.151431144,1.585573519,1.868502332
ouvre,VER,2.150602952,1.903469829,2.027036391
rendre,VER,2.150172896,2.176293883,2.16323339
celle,PRO,2.150142162,2.47633882,2.313240491
excuse,VER,2.149988456,1.416307587,1.783148022
laissé,VER,2.147954431,2.07623982,2.112097126
changer,VER,2.147676324,1.859138297,2.003407311
penser,VER,2.146871903,2.208495102,2.177683503
haut,ADV,2.145972903,2.403532305,2.274752604
occupe,VER,2.145631415,1.569256833,1.857444124
avis,NOU,2.143701629,1.813847754,1.978774692
regarder,VER,2.14082218,2.213544319,2.17718325
retour,NOU,2.139942023,2.185570484,2.162756254
entendre,VER,2.139564266,2.210853365,2.175208816
étiez,VER,2.139375264,1.498172661,1.818773963
grave,ADJ,2.137797043,1.904553263,2.021175153
